# Agent Skills Index
URL_TEMPLATE: https://raw.githubusercontent.com/{repo}/main/skills/{path}/SKILL.md
COLUMNS: id;repo;path;summary

## DESIGN SKILLS (TOP 800)
web-design-guidelines;langgenius/dify;;Provides guidelines for web design practices and principles.
web-design-guidelines;vercel-labs/agent-skills;web-design-guidelines;Reviews UI code for web interface guidelines compliance, focusing on accessibility and design best practices.
microcopy;lobehub/lobehub;microcopy;Provides guidelines for UI copy and microcopy, useful for writing user-facing text, buttons, and error messages.
microcopy;lobehub/lobe-chat;microcopy;Provides guidelines for UI copy and microcopy, useful for writing user-facing text, buttons, and error messages.
canvas-design;anthropics/skills;main/skills/canvas-design;Create beautiful visual art and designs in PNG and PDF formats using design principles.
theme-factory;anthropics/skills;main/skills/theme-factory;A toolkit for applying themes to various artifacts like slides and documents.
algorithmic-art;anthropics/skills;main/skills/algorithmic-art;Generate algorithmic art using p5.js with seeded randomness and interactive parameters.
brand-guidelines;anthropics/skills;main/skills/brand-guidelines;Applies Anthropic's brand guidelines including colors and typography to artifacts.
web-design-guidelines;calcom/cal.com;;Reviews UI code for web interface guidelines compliance, focusing on accessibility and design best practices.
ui-ux-pro-max;nextlevelbuilder/ui-ux-pro-max-skill;ui-ux-pro-max;A comprehensive UI/UX design assistant with 50 styles, 21 palettes, and support for multiple frameworks like React, Next.js, Vue, and Svelte
tailwind-design-system;wshobson/agents;tailwind-design-system;Create scalable design systems using Tailwind CSS v4, design tokens, and responsive patterns.
canvas-design;composiohq/awesome-claude-skills;;Create beautiful visual art and designs in PNG and PDF formats using design principles.
brand-guidelines;composiohq/awesome-claude-skills;;Applies Anthropic's brand guidelines including colors and typography to artifacts.
theme-factory;composiohq/awesome-claude-skills;;A toolkit for applying themes to various artifacts like slides and documents.
mobile-ios-design;wshobson/agents;mobile-ios-design;Master iOS design principles and SwiftUI patterns for native app development.
design-system-patterns;wshobson/agents;design-system-patterns;Create scalable design systems with design tokens, theming, and component patterns.
mobile-android-design;wshobson/agents;mobile-android-design;Master Material Design 3 and Jetpack Compose for Android app development.
visual-design-foundations;wshobson/agents;visual-design-foundations;Create cohesive visual designs using typography, color theory, spacing, and iconography principles.
interaction-design;wshobson/agents;interaction-design;Create polished UI interactions with microinteractions, motion design, and user feedback patterns.
kpi-dashboard-design;wshobson/agents;kpi-dashboard-design;Design effective KPI dashboards with metrics selection and visualization best practices.
frontend-ui-ux;code-yeongyu/oh-my-opencode;;A skill for creating stunning UI/UX designs without design mockups.
design-principles;srbhr/resume-matcher;;A skill for understanding and applying design principles in UI/UX creation.
web-design-reviewer;github/awesome-copilot;web-design-reviewer;Reviews website design for issues like responsiveness, accessibility, and layout problems.
ui-design-system;davila7/claude-code-templates;creative-design/ui-design-system;A UI design system toolkit for senior designers including design tokens, component docs, responsive design, and dev handoff tools.
ux-researcher-designer;davila7/claude-code-templates;creative-design/ux-researcher-designer;A UX research and design toolkit for senior designers, including persona generation, journey mapping, and usability testing.
ui-ux-pro-max;davila7/claude-code-templates;creative-design/ui-ux-pro-max;A comprehensive UI/UX design assistant with 50 styles, 21 palettes, and support for multiple frameworks like React, Next.js, Vue, and Svelte
