# Agent Skills Index
URL_TEMPLATE: https://raw.githubusercontent.com/{repo}/main/skills/{path}/SKILL.md
COLUMNS: id;repo;path;summary

## WEB SKILLS (TOP 800)
next-cache-components;vercel/next.js;;A Next.js component for efficient caching.
vercel-react-best-practices;langgenius/dify;;A skill for implementing best practices in Vercel-hosted React applications.
frontend-design;anthropics/skills;main/skills/frontend-design;Create high-quality, production-ready frontend interfaces with distinct designs using React, HTML, and CSS.
react;lobehub/lobehub;react;A guide for React component development, including UI creation, routing, and usage of @lobehub/ui components.
react;lobehub/lobe-chat;react;A guide for React component development, including UI creation, routing, and usage of @lobehub/ui components.
i18n;lobehub/lobehub;i18n;A skill for handling internationalization in React applications using react-i18next.
i18n;lobehub/lobe-chat;i18n;A skill for handling internationalization in React applications using react-i18next.
webapp-testing;anthropics/skills;main/skills/webapp-testing;A toolkit for testing local web applications using Playwright, supporting frontend verification and debugging.
seo-review;leonardomso/33-js-concepts;seo-review;Perform a focused SEO audit on JavaScript concept pages to maximize search visibility and ranking potential.
web-artifacts-builder;anthropics/skills;main/skills/web-artifacts-builder;Build complex HTML artifacts with React, Tailwind CSS, and shadcn/ui components.
frontend-design;anthropics/claude-code;frontend-design;Create high-quality, production-ready frontend interfaces with creative and polished code.
slidev;slidevjs/slidev;slidev;Create web-based slides with Markdown, Vue, and interactive features for technical presentations.
frontend-patterns;affaan-m/everything-claude-code;frontend-patterns;A skill focused on frontend development patterns for React and Next.js, including state management and performance optimization.
django-patterns;affaan-m/everything-claude-code;django-patterns;Django architecture patterns, REST API design with DRF, ORM best practices, caching, signals, middleware, and production-grade Django apps.
youtube-downloader;composiohq/awesome-claude-skills;;Download YouTube videos with customizable quality and format options.
artifacts-builder;composiohq/awesome-claude-skills;;A tool suite for building complex HTML artifacts with React, Tailwind CSS, and shadcn/ui components.
webapp-testing;composiohq/awesome-claude-skills;;A toolkit for testing local web applications using Playwright, supporting frontend verification and debugging.
nextjs-app-router-patterns;wshobson/agents;nextjs-app-router-patterns;Master Next.js 14+ App Router with Server Components, streaming, parallel routes, and advanced data fetching.
responsive-design;wshobson/agents;responsive-design;Create modern responsive layouts with container queries, fluid typography, and mobile-first strategies.
fastapi-templates;wshobson/agents;fastapi-templates;Generate production-ready FastAPI projects with async support and error handling.
stripe-integration;wshobson/agents;stripe-integration;Integrate Stripe for secure payment processing with checkout, subscriptions, and webhooks.
web-component-design;wshobson/agents;web-component-design;Master React, Vue, and Svelte component patterns for UI library development and frontend design systems.
react-state-management;wshobson/agents;react-state-management;Learn modern React state management techniques using Redux Toolkit, Zustand, Jotai, and React Query.
accessibility-compliance;wshobson/agents;accessibility-compliance;Implement WCAG 2.2 compliant interfaces with mobile accessibility, inclusive design patterns, and assistive technology support.
react-modernization;wshobson/agents;react-modernization;Upgrade React apps to latest versions, migrate to hooks, and adopt concurrent features.
screen-reader-testing;wshobson/agents;screen-reader-testing;Test web apps with screen readers like VoiceOver, NVDA, and JAWS for accessibility validation.
wcag-audit-patterns;wshobson/agents;wcag-audit-patterns;Conduct WCAG 2.2 accessibility audits with automated testing and manual verification.
paypal-integration;wshobson/agents;paypal-integration;Integrates PayPal for payment processing, including express checkout, subscriptions, and refunds.
heroui-react;heroui-inc/heroui;heroui-react;A React component library for HeroUI with Tailwind CSS v4 and React Aria.
agent-browser;code-yeongyu/oh-my-opencode;;Automates browser interactions for web testing, form filling, screenshots, and data extraction.
fastapi;srbhr/resume-matcher;fastapi;Create Python APIs with FastAPI, Pydantic v2, and SQLAlchemy 2.0 async.
tailwind-patterns;srbhr/resume-matcher;tailwind-pattern;A set of production-ready Tailwind CSS patterns for common website components.
nextjs15-performance;srbhr/resume-matcher;nextjs-performance;Optimize Next.js 15 performance with fixes for React components, data fetching, and bundle size.
domain-web;rustfs/rustfs;;A skill for creating and managing web applications with a focus on frontend development.
tailwind-best-practices;mastra-ai/mastra;tailwind-best-practices;Provides Tailwind CSS styling guidelines for Mastra Playground UI to ensure design system consistency.
e2e-frontend-validation;mastra-ai/mastra;;End-to-end frontend validation skill for web applications.
