# Agent Skills Index
URL_TEMPLATE: https://raw.githubusercontent.com/{repo}/main/skills/{path}/SKILL.md
COLUMNS: id;repo;path;summary

## CATEGORIES (ROUTING)
- ai-llm: ./llms/categories/ai-llm.txt (800/1486 skills)
- business: ./llms/categories/business.txt (211/211 skills)
- data: ./llms/categories/data.txt (394/394 skills)
- design: ./llms/categories/design.txt (218/218 skills)
- dev: ./llms/categories/dev.txt (800/1456 skills)
- devops: ./llms/categories/devops.txt (518/518 skills)
- other: ./llms/categories/other.txt (92/92 skills)
- product: ./llms/categories/product.txt (107/107 skills)
- productivity: ./llms/categories/productivity.txt (130/130 skills)
- research: ./llms/categories/research.txt (177/177 skills)
- security: ./llms/categories/security.txt (301/301 skills)
- web: ./llms/categories/web.txt (659/659 skills)

## TOP 500 GLOBAL SKILLS
fix;facebook/react;fix;Fix lint errors and formatting issues before committing code.
extract-errors;facebook/react;extract-errors;Extract and handle error messages in React applications.
test;facebook/react;test;A skill for running tests on React core with support for multiple channels.
verify;facebook/react;verify;A skill for validating changes before committing or checking React contribution requirements.
flow;facebook/react;flow;A skill for running Flow type checking and handling Flow type errors in React code.
feature-flags;facebook/react;feature-flags;A skill for handling feature flag issues, debugging, and adding new flags in React applications.
flags;facebook/react;flags;Check feature flag states, compare channels, and debug cross-release behavior.
create-pr;n8n-io/n8n;create-pr;Automatically creates properly formatted GitHub pull requests for code reviews.
weather;steipete/clawdis;weather;A skill to fetch current weather and forecasts without requiring an API key.
coding-agent;steipete/clawdis;coding-agent;Control coding agents like Codex, Claude Code, and OpenCode via background processes.
skill-lookup;f/awesome-chatgpt-prompts;skill-lookup;A skill for discovering, retrieving, and installing AI capabilities, especially for Claude.
prompt-lookup;f/awesome-chatgpt-prompts;prompt-lookup;A skill for discovering, retrieving, and improving AI prompts.
book-translation;f/prompts.chat;book-translation;Translate interactive book content and UI strings to new languages.
book-translation;f/awesome-chatgpt-prompts;book-translation;Translate interactive book content and UI strings to new languages.
update-docs;vercel/next.js;update-docs;A skill for updating Next.js documentation based on code changes, guiding users through a structured workflow.
next-cache-components;vercel/next.js;;A Next.js component for efficient caching.
frontend-code-review;langgenius/dify;frontend-code-review;A skill for reviewing frontend code files like .tsx, .ts, and .js with checklist rules.
component-refactoring;langgenius/dify;component-refactoring;Refactor complex React components in Dify frontend based on complexity analysis and user requests.
frontend-testing;langgenius/dify;frontend-testing;Generates Vitest and React Testing Library tests for Dify frontend components, hooks, and utilities.
skill-creator;langgenius/dify;;A skill for creating new skills or templates.
web-design-guidelines;langgenius/dify;;Provides guidelines for web design practices and principles.
vercel-react-best-practices;langgenius/dify;;A skill for implementing best practices in Vercel-hosted React applications.
orpc-contract-first;langgenius/dify;orpc-contract-first;A skill for implementing oRPC contract-first API patterns in Dify frontend, useful for API layer development.
electron-chromium-upgrade;electron/electron;electron-chromium-upgrade;A guide for upgrading Chromium in Electron projects, covering patch application and conflict resolution.
vercel-react-best-practices;vercel-labs/agent-skills;react-best-practices;Provides React and Next.js performance optimization guidelines from Vercel Engineering.
find-skills;vercel-labs/skills;main/skills/find-skills;Helps users discover and install agent skills based on their queries.
frontend-design;anthropics/skills;main/skills/frontend-design;Create high-quality, production-ready frontend interfaces with distinct designs using React, HTML, and CSS.
skill-writer;pytorch/pytorch;skill-writer;A skill for guiding users in creating Agent Skills for Claude Code, including SKILL.md files and skill structure.
docstring;pytorch/pytorch;docstring;Generate PyTorch docstrings following conventions.
add-uint-support;pytorch/pytorch;add-uint-support;Add unsigned integer support to PyTorch operators using AT_DISPATCH macros.
at-dispatch-v2;pytorch/pytorch;at-dispatch-v2;Convert PyTorch AT_DISPATCH macros to AT_DISPATCH_V2 format in ATen C++ code for kernel porting.
bun-file-io;anomalyco/opencode;;A skill for handling file I/O operations like reading, writing, and deleting files using Bun.
code-reviewer;google-gemini/gemini-cli;code-reviewer;A skill for reviewing code, supporting local changes and remote pull requests with focus on correctness and maintainability.
docs-writer;google-gemini/gemini-cli;docs-writer;A skill for writing, reviewing, and editing documentation, especially for .md files and /docs directories.
pr-creator;google-gemini/gemini-cli;pr-creator;Automates pull request creation with repository template adherence.
browser-use;browser-use/browser-use;browser-use;Automates browser interactions for web testing, form filling, screenshots, and data extraction.
web-design-guidelines;vercel-labs/agent-skills;web-design-guidelines;Reviews UI code for web interface guidelines compliance, focusing on accessibility and design best practices.
playwright-cli;microsoft/playwright;;A CLI tool for automating browser interactions including testing, form filling, and data extraction.
playwright-mcp-dev;microsoft/playwright;playwright-mcp-dev;A skill for adding and debugging Playwright MCP tools and CLI commands.
skill-creator;anthropics/skills;main/skills/skill-creator;A guide for creating effective AI skills that extend Claude's capabilities with specialized knowledge, workflows, or tool integrations.
typescript;lobehub/lobehub;typescript;Provides TypeScript coding guidelines, optimization tips, and type safety patterns for .ts/.tsx files.
vercel-react-best-practices;lobehub/lobehub;vercel-react-best-practices;Provides React and Next.js performance optimization guidelines from Vercel Engineering.
react;lobehub/lobehub;react;A guide for React component development, including UI creation, routing, and usage of @lobehub/ui components.
drizzle;lobehub/lobe-chat;drizzle;A skill for working with Drizzle ORM schemas, database migrations, and model definitions.
project-overview;lobehub/lobehub;project-overview;Provides a complete project architecture and structure guide for exploring codebases and understanding project organization.
zustand;lobehub/lobehub;zustand;A guide for using Zustand, a lightweight state management library for React applications.
typescript;lobehub/lobe-chat;typescript;Provides TypeScript coding guidelines, optimization tips, and type safety patterns for .ts/.tsx files.
react;lobehub/lobe-chat;react;A guide for React component development, including UI creation, routing, and usage of @lobehub/ui components.
testing;lobehub/lobehub;testing;A skill for writing tests, fixing failures, and improving test coverage using Vitest.
i18n;lobehub/lobehub;i18n;A skill for handling internationalization in React applications using react-i18next.
debug;lobehub/lobehub;debug;A skill for debugging package usage, log namespaces, and implementing debugging features.
zustand;lobehub/lobe-chat;zustand;A guide for using Zustand, a lightweight state management library for React applications.
project-overview;lobehub/lobe-chat;project-overview;Provides a complete project architecture and structure guide for exploring codebases and understanding project organization.
i18n;lobehub/lobe-chat;i18n;A skill for handling internationalization in React applications using react-i18next.
modal;lobehub/lobehub;modal;A skill for creating modal dialogs using createModal from @lobehub/ui.
add-provider-doc;lobehub/lobehub;add-provider-doc;A guide for adding documentation for new AI providers like OpenAI and Anthropic.
debug;lobehub/lobe-chat;debug;A skill for debugging package usage, log namespaces, and implementing debugging features.
drizzle;lobehub/lobehub;drizzle;A skill for working with Drizzle ORM schemas, database migrations, and model definitions.
add-setting-env;lobehub/lobehub;add-setting-env;Guide for adding environment variables to configure user settings on the server side.
microcopy;lobehub/lobehub;microcopy;Provides guidelines for UI copy and microcopy, useful for writing user-facing text, buttons, and error messages.
vercel-react-best-practices;lobehub/lobe-chat;vercel-react-best-practices;Provides React and Next.js performance optimization guidelines from Vercel Engineering.
desktop;lobehub/lobe-chat;desktop;A guide for Electron desktop application development, covering IPC, window management, and preload scripts.
recent-data;lobehub/lobehub;recent-data;A skill for managing and accessing recent data, including topics, resources, and session store items.
microcopy;lobehub/lobe-chat;microcopy;Provides guidelines for UI copy and microcopy, useful for writing user-facing text, buttons, and error messages.
desktop;lobehub/lobehub;desktop;A guide for Electron desktop application development, covering IPC, window management, and preload scripts.
add-setting-env;lobehub/lobe-chat;add-setting-env;Guide for adding environment variables to configure user settings on the server side.
add-provider-doc;lobehub/lobe-chat;add-provider-doc;A guide for adding documentation for new AI providers like OpenAI and Anthropic.
testing;lobehub/lobe-chat;testing;A skill for writing tests, fixing failures, and improving test coverage using Vitest.
linear;lobehub/lobehub;linear;A skill for managing Linear issues including creation, status updates, and comments.
recent-data;lobehub/lobe-chat;recent-data;A skill for managing and accessing recent data, including topics, resources, and session store items.
modal;lobehub/lobe-chat;modal;A skill for creating modal dialogs using createModal from @lobehub/ui.
hotkey;lobehub/lobe-chat;hotkey;A guide for adding keyboard shortcuts, useful for implementing hotkeys and managing keyboard interactions.
linear;lobehub/lobe-chat;linear;A skill for managing Linear issues including creation, status updates, and comments.
hotkey;lobehub/lobehub;hotkey;A guide for adding keyboard shortcuts, useful for implementing hotkeys and managing keyboard interactions.
pdf;anthropics/skills;main/skills/pdf;Process PDF files including text extraction, merging, splitting, and form filling.
pptx;anthropics/skills;main/skills/pptx;This skill handles all .pptx file operations including creation, editing, and extraction.
