# Agent Skills Index
URL_TEMPLATE: https://raw.githubusercontent.com/{repo}/main/skills/{path}/SKILL.md
COLUMNS: id;repo;path;summary

## DEVOPS SKILLS (TOP 800)
create-pr;n8n-io/n8n;create-pr;Automatically creates properly formatted GitHub pull requests for code reviews.
create-pull-request;cline/cline;create-pull-request;Automatically create GitHub pull requests following project conventions using the gh CLI tool.
create-database-migration;tryghost/ghost;create-database-migration;Create database migrations for Ghost's MySQL schema changes.
using-git-worktrees;obra/superpowers;using-git-worktrees;Create isolated Git worktrees for feature development with smart directory selection and safety checks.
triage-ci-flake;payloadcms/payload;triage-ci-flake;Triaging CI flake issues after PR merges or investigating flaky test failures.
git-workflow;agno-agi/agno;sample_skills/git-workflow;A Git workflow guide for commits, branches, and pull requests.
system-info;agno-agi/agno;sample_skills/system-info;A skill to retrieve system information via executable scripts.
make-pr;remotion-dev/remotion;pr;Automatically opens a pull request for the current feature branch.
turborepo;vercel/turborepo;turborepo;Guidance for Turborepo monorepo build system, covering task pipelines, caching, and CI optimization.
commit-helper;cockroachdb/cockroach;commit-helper;Automates git commit and PR message formatting following CockroachDB conventions.
changelog-generator;composiohq/awesome-claude-skills;;Automatically generates user-friendly changelogs from git commits.
github-actions-templates;wshobson/agents;github-actions-templates;Create production-ready GitHub Actions workflows for automated testing, building, and deploying applications.
git-advanced-workflows;wshobson/agents;git-advanced-workflows;Master advanced Git workflows for clean history and issue recovery.
deployment-pipeline-design;wshobson/agents;deployment-pipeline-design;Design multi-stage CI/CD pipelines with approval gates, security checks, and deployment orchestration.
database-migration;wshobson/agents;database-migration;Execute database migrations with zero-downtime strategies and rollback procedures.
gitlab-ci-patterns;wshobson/agents;gitlab-ci-patterns;Create scalable GitLab CI/CD pipelines with multi-stage workflows and distributed runners.
workflow-orchestration-patterns;wshobson/agents;workflow-orchestration-patterns;Design durable workflows with Temporal for distributed systems, covering workflow vs activity separation, saga patterns, and determinism con
grafana-dashboards;wshobson/agents;grafana-dashboards;Create and manage Grafana dashboards for real-time system and application metric visualization.
terraform-module-library;wshobson/agents;terraform-module-library;Create reusable Terraform modules for cloud infrastructure with best practices.
changelog-automation;wshobson/agents;changelog-automation;Automate changelog generation from commits and PRs following Keep a Changelog format.
cost-optimization;wshobson/agents;cost-optimization;Optimize cloud costs through resource resizing, tagging, reserved instances, and spending analysis.
